input,output,delay,api_delay,success
933222,966.0341608866635,125.7777214050293,120.50662358776584,True
184256,429.250509609482,166.63646697998047,162.6503069087955,True
799494,894.144283658963,107.12003707885742,103.03207980511907,True
241381,491.3054040004038,144.90365982055664,140.46961159548405,True
834027,913.2507870240244,153.37848663330078,148.7885921692511,True
223318,472.56533939763295,136.61432266235352,133.26409336455185,True
968965,984.3601983014145,173.3710765838623,170.59334983504766,True
832515,912.4225994570718,159.45911407470703,155.42068985944047,True
709808,842.5010385750276,124.03130531311035,120.20859418110145,True
31924,178.6728854639114,148.23389053344727,145.58367979159885,True
945639,972.4397153551473,141.6473388671875,138.64949647780568,True
212848,461.3545274515034,185.4395866394043,182.35617218503097,True
951648,975.5244743213775,183.07113647460938,179.31171992121105,True
138408,372.0322566660047,160.9807014465332,157.1197556990131,True
955387,977.4390006542608,181.17809295654297,177.45792751276335,True
807553,898.6395272855518,130.7680606842041,126.69056250514188,True
743339,862.1710967087681,186.46907806396484,182.33676868328706,True
327413,572.2001398112377,182.1751594543457,177.29067799382582,True
253862,503.8471990593974,167.3715114593506,164.94376882063332,True
333146,577.1880109634988,157.31573104858398,153.41429571731115,True
31610,177.79201331893398,192.28339195251465,188.35099188965725,True
714017,844.99526625893,191.39552116394043,188.9094457503439,True
21134,145.37537618180048,117.84577369689941,114.02981828139234,True
302920,550.3816857418132,163.2215976715088,159.45321401997546,True
602376,776.1288552811318,130.03778457641602,126.90903198761939,True
956748,978.1349600131875,124.21393394470215,120.77438304404292,True
11142,105.55567251455508,118.38364601135254,113.1775258774174,True
285970,534.7616291395634,115.19336700439453,111.92202593630984,True
17370,131.79529581893277,186.55991554260254,182.08804869213122,True
975220,987.5322779534854,139.56904411315918,135.17974081170996,True
282657,531.6549632985664,164.43109512329102,160.3682884782876,True
406205,637.3421373171556,190.21129608154297,186.39871092585935,True
116467,341.2726182980404,141.07847213745117,136.82508486793893,True
562542,750.0279994773529,162.55569458007812,158.69640501467248,True
498899,706.327827570173,164.7026538848877,160.83915860129048,True
304073,551.4281458177484,149.1389274597168,145.02654357453093,True
611980,782.2915057700678,139.44506645202637,135.16073773228058,True
978699,989.2921712012079,124.72701072692871,120.81218080590347,True
713055,844.4258404383419,121.27065658569336,117.20885458840392,True
694066,833.1062357226718,121.73748016357422,119.32152015194781,True
486891,697.775751943273,152.45437622070312,148.9307291526453,True
202978,450.53079805935573,166.7935848236084,163.76196517939573,True
424214,651.317127058701,159.5606803894043,155.15849265276603,True
72452,269.16909183633993,193.12119483947754,188.5264504141788,True
470121,685.6537026808795,146.41308784484863,142.9740518938997,True
880714,938.4636380808795,128.73482704162598,125.84571734524184,True
946638,972.9532362863079,118.67260932922363,114.79338886761225,True
616419,785.123557155178,131.9282054901123,128.6571905249785,True
869746,932.6017370775158,181.80298805236816,178.0379817011016,True
63626,252.24194734421155,140.2740478515625,136.28601369165273,True
297363,545.3100035759476,158.4146022796631,155.51333259755273,True
191629,437.754497406937,132.19165802001953,128.74660528955116,True
785609,886.3458692857997,163.2683277130127,159.31944083510479,True
922327,960.3785711895075,147.57919311523438,143.02368227876215,True
505230,710.7953291911814,142.09389686584473,138.20656413247707,True
822414,906.8704427866198,132.89761543273926,129.156904562703,True
736751,858.3420064286729,105.86333274841309,102.07766850912297,True
681772,825.6948588915883,113.0063533782959,109.38839687313057,True
312485,559.0035778060817,106.12750053405762,102.46124420789305,True
138283,371.86422253290243,143.62406730651855,140.3670281821334,True
417670,646.2739357269485,122.28560447692871,118.95883240820862,True
122490,349.9857139941572,104.02202606201172,100.75647008656243,True
787273,887.2840582361434,156.47649765014648,152.48919058458375,True
583438,763.831133170153,178.71379852294922,174.02722731036002,True
332856,576.9367382997897,157.792329788208,153.17471822526545,True
841543,917.3565282920267,124.45068359375,120.54102508251606,True
437045,661.093790622783,105.93032836914062,101.75724294370444,True
32076,179.0977386791916,179.09502983093262,175.63185139928444,True
649761,806.0775396945384,130.89919090270996,127.30747195427588,True
449301,670.2991869307317,129.00900840759277,124.4239829316561,True
346463,588.6110770279472,184.00883674621582,180.21560694315602,True
153534,391.8341485884047,147.41134643554688,143.02321710336392,True
199527,446.6844523822158,151.0181427001953,147.6294308335659,True
277083,526.3867399545699,164.3044948577881,161.03886658882863,True
233822,483.5514450397186,117.49482154846191,114.12712947387533,True
344033,586.543263536459,131.2720775604248,128.88236514955724,True
362126,601.7690586927846,153.28431129455566,149.76207154843792,True
983801,991.8674306579484,133.58402252197266,130.6381079935997,True
34888,186.78329689776868,132.58862495422363,128.5150049188777,True
248231,498.22785951811244,143.50080490112305,140.08381329030323,True
422754,650.1953552587099,147.39990234375,144.88565719755798,True
127758,357.4325111122378,158.13684463500977,154.31830255053043,True
