input,output,delay,api_delay,success
770721,877.9071704912769,127.38776206970215,123.45362193328879,True
198668,445.7218863820802,166.14508628845215,162.29119180866786,True
173334,416.3340005332257,166.0168170928955,162.8894242510404,True
71804,267.9626839692423,187.67261505126953,183.52716352827235,True
887753,942.2064529602841,128.51333618164062,124.72601688838564,True
85208,291.9040938390553,184.31901931762695,179.88445316562047,True
882324,939.3210313838395,143.33772659301758,139.23326826788656,True
427838,654.093265521057,157.78112411499023,154.1886760563241,True
520814,721.6744418364835,152.78363227844238,149.54534222751607,True
595554,771.7214523388604,128.49831581115723,125.05403494975518,True
45051,212.25220846907578,177.9618263244629,174.23710395688664,True
234534,484.28710492847114,157.87792205810547,155.0569675070541,True
630089,793.7814560696162,136.64913177490234,132.72827417516748,True
774182,879.8761276452499,161.06724739074707,157.04243748848336,True
301166,548.7859327643157,129.25481796264648,126.03755511403413,True
697524,835.1790227250682,121.43898010253906,117.30569972215868,True
933906,966.3881207879161,184.45444107055664,181.941358334048,True
442498,665.2052314887488,130.4924488067627,126.5482613332608,True
790418,889.0545540066706,113.64316940307617,109.75683647382972,True
169056,411.16420077628356,140.8674716949463,137.54903609020548,True
315642,561.8202559538059,154.951810836792,150.5769377097872,True
715156,845.6689659671804,162.44864463806152,159.4032306679769,True
972742,986.2768374041844,181.86521530151367,177.9967903871469,True
849836,921.8654999510503,104.09975051879883,101.54549728076789,True
942834,970.9963954618987,105.21864891052246,102.48104579118713,True
663700,814.6778504415104,158.3387851715088,154.9919052301171,True
358623,598.8514005995144,152.24242210388184,149.13270825007956,True
390983,625.2863344100845,162.0182991027832,159.32704605877606,True
747986,864.861838677138,124.5107650756836,120.59204666364097,True
146159,382.3074678841626,110.05616188049316,105.97872689192717,True
777084,881.5236809070985,104.18438911437988,100.05339826081594,True
283148,532.1165285912476,109.81535911560059,106.36651497212505,True
456753,675.8350390442922,123.21972846984863,119.55590894586132,True
885727,941.1307029313198,133.45003128051758,130.33173205005895,True
411738,641.6681385264504,130.54490089416504,126.92606897692352,True
674433,821.2386985523758,168.2286262512207,163.7316908747411,True
534094,730.8173506424159,121.15883827209473,117.52775432064169,True
295203,543.3258690693827,129.06932830810547,126.22546127304479,True
764505,874.3597657715044,173.23780059814453,170.0194747674267,True
