input,output,delay,api_delay,success
229675,479.2441966263128,143.7678337097168,137.60301497368874,True
39468,198.665548095285,188.83538246154785,185.5967194453473,True
641352,800.8445542051217,151.77607536315918,148.45009065497212,True
367601,606.3010803223099,115.09585380554199,111.64303783050387,True
283098,532.0695443266792,192.46244430541992,188.5794873097882,True
569286,754.5104373035538,126.10220909118652,122.30486119183135,True
964276,981.9755597773296,193.07398796081543,189.71164195099297,True
86404,293.945573193406,142.54498481750488,138.83654849133669,True
148220,384.99350643874504,189.95046615600586,186.77233424106868,True
70448,265.4204212188655,179.17919158935547,174.84952229910863,True
585548,765.2110819897997,151.98898315429688,148.78378602899116,True
912844,955.4286995898752,140.65003395080566,138.3789993640107,True
954115,976.7881039406653,186.38944625854492,182.8567006327706,True
60813,246.60291969074495,157.58943557739258,153.12577782708547,True
606842,779.0006418482593,180.38535118103027,177.26061703008094,True
607404,779.3612769441397,183.1192970275879,180.56381634683956,True
5440,73.7563556583431,185.46748161315918,181.6850239563314,True
43741,209.14349141199685,147.9201316833496,145.70668214791232,True
388992,623.6922317938552,176.9242286682129,174.24304266119768,True
526733,725.7637356605799,160.51268577575684,158.06292899522225,True
901793,949.6278218333749,110.86702346801758,107.9116346360689,True
127013,356.38883259720694,138.19599151611328,135.07619754954754,True
376112,613.2797078006087,149.71041679382324,147.5893891017407,True
936883,967.9271666814606,187.3607635498047,184.53154956740275,True
976187,988.0217608939593,168.58720779418945,165.65050161388228,True
114652,338.6030123906165,104.95638847351074,101.33569099446895,True
180582,424.94940875355974,173.34842681884766,169.85534087742582,True
25044,158.25296205758679,131.4995288848877,128.54781714787703,True
164157,405.16293018981884,144.4716453552246,141.42408056945854,True
59320,243.55697485393432,185.97698211669922,182.6277472706456,True
695628,834.0431643506228,190.7644271850586,187.92365231826992,True
99904,316.0759402422146,187.8955364227295,184.99863132254026,True
832650,912.4965753360393,117.93971061706543,114.59371191775435,True
465316,682.1407479398955,103.99079322814941,100.22269866722415,True
654934,809.2799268485535,105.38530349731445,101.7542337738819,True
145608,381.58616327115425,123.32582473754883,120.2876047218721,True
652172,807.5716686461951,109.08627510070801,106.36709745477103,True
59014,242.92797286438628,107.86914825439453,104.23872663222309,True
144169,379.69593097635374,139.44435119628906,137.43311711893705,True
678251,823.5599553159442,139.8763656616211,136.9410596319859,True
280390,529.5186493410785,113.5873794555664,109.63506980862151,True
400399,632.7708906073351,187.09397315979004,183.6235607053494,True
639211,799.5067229235786,165.55118560791016,163.32745849333207,True
850153,922.0374178958249,116.06049537658691,114.23696915690631,True
845809,919.6787482594126,169.0206527709961,166.42852942008935,True
179040,423.1311853314525,185.96696853637695,182.27265776414964,True
4801,69.28924880528002,169.5852279663086,166.71853693703076,True
273774,523.2341731959028,117.12455749511719,112.57998225087583,True
271520,521.0758102234262,111.26184463500977,108.0375788774302,True
76042,275.7571395267945,188.75861167907715,185.74302985731828,True
88181,296.952858211535,164.1528606414795,161.73594453040357,True
276893,526.2062333344219,177.25467681884766,174.80272201863662,True
862613,928.7696162127613,112.01238632202148,110.4373201679374,True
136601,369.59572508350254,181.199312210083,177.88388246576187,True
496979,704.967375131644,105.25369644165039,101.60115536384953,True
908332,953.064530868713,166.28026962280273,163.3284220823127,True
507588,712.4521036532913,135.1315975189209,132.51782446773814,True
888784,942.7534142075541,106.19735717773438,103.12801262788571,True
565386,751.9215384599646,116.51754379272461,114.17731811034825,True
115754,340.2263952135401,154.37984466552734,152.0851118691441,True
852657,923.3942819835955,165.57955741882324,164.23741312150113,True
622583,789.0392892625816,144.4704532623291,142.4780038423717,True
557056,746.3618425401985,134.28974151611328,130.79324140062766,True
842521,917.8894268919323,131.4370632171631,128.35057133744942,True
679045,824.0418678683748,168.503999710083,165.14862258609836,True
874381,935.0834187386706,177.69908905029297,173.61409589218485,True
734858,857.2385898919857,118.84021759033203,115.88339173668415,True
960695,980.1504986480393,112.92099952697754,107.95145269741005,True
385562,620.9363896567828,182.19590187072754,180.1949952666294,True
640244,800.1524854676138,191.8323040008545,189.16664746188255,True
118316,343.970929004182,107.20992088317871,104.35959397231694,True
232400,482.078831727758,137.45713233947754,132.5015459711075,True
757187,870.1649268960454,128.6947727203369,124.64140853320497,True
960744,980.175494490655,174.22842979431152,172.3265796910976,True
610556,781.3808290456069,146.31342887878418,142.78398014782593,True
468396,684.3946230063472,152.5282859802246,149.96495473941596,True
521762,722.3309490808213,116.92190170288086,113.31716694372777,True
670384,818.7698089206758,156.23068809509277,154.3105264901063,True
634371,796.4741050404589,173.07782173156738,169.86150190207871,True
297185,545.1467692282511,134.86099243164062,131.24140653785952,True
893810,945.4152526800062,156.55159950256348,153.5233508966733,True
173244,416.225900203243,148.6365795135498,145.59371623395617,True
321374,566.8985799946936,136.2166404724121,132.84444958830045,True
221999,471.1676983834949,170.9449291229248,169.14391811135638,True
541245,735.6935503319299,102.77390480041504,101.26932705047912,True
626391,791.4486717406253,107.02013969421387,103.9237856603269,True
568152,753.7585820406956,132.401704788208,130.05503364480185,True
92778,304.5948128251694,151.93676948547363,148.55772916369563,True
45158,212.50411760716543,165.6641960144043,162.03533217380237,True
680565,824.9636355621985,173.3553409576416,170.95874821453046,True
99778,315.87655816790203,151.95846557617188,148.63266148992807,True
120593,347.265028472491,154.8316478729248,149.6151941118789,True
924869,961.7010970150757,161.95321083068848,159.90892847651364,True
35657,188.83061192507955,148.06270599365234,145.3795781203851,True
756543,869.7948033875576,157.51218795776367,154.3445311010376,True
815113,902.8360870058308,143.00251007080078,139.01694588443644,True
707929,841.3851674471092,160.7034206390381,157.21159493598486,True
965239,982.4657754853347,117.0651912689209,113.54902993453729,True
814144,902.2992851598631,187.44373321533203,183.71506678196758,True
